text,category,gender,sleeve,season,fit,color,price
"Mẫu Váy maxi nữ tay dài, dáng rộng, màu trắng, phong cách thời trang mùa đông, giá bán 700 nghìn.",Váy maxi,nữ,tay dài,mùa đông,dáng rộng,màu trắng,700 nghìn
"Chiếc Áo sơ mi dành cho unisex kiểu không tay, màu màu tím, mặc mùa xuân rất thoải mái, giá 200 nghìn.",Áo sơ mi,unisex,không tay,mùa xuân,regular,màu tím,200 nghìn
"Áo hoodie unisex tay lửng màu hồng, chất liệu thoáng mát, phù hợp cho mùa hè, giá khoảng 400 nghìn.",Áo hoodie,unisex,tay lửng,mùa hè,rộng,màu hồng,400 nghìn
"Mẫu Quần jeans nam tay dài, dáng rộng, màu đỏ, phong cách thời trang quanh năm, giá bán 700 nghìn.",Quần jeans,nam,tay dài,quanh năm,dáng rộng,màu đỏ,700 nghìn
"Mẫu Áo khoác unisex tay dài, regular, màu hồng, phong cách thời trang mùa thu, giá bán 1 triệu rưỡi.",Áo khoác,unisex,tay dài,mùa thu,regular,màu hồng,1 triệu rưỡi
"Quần jeans nam tay ngắn hoa nhí, chất liệu thoáng mát, phù hợp cho mùa đông, giá khoảng 1 triệu rưỡi.",Quần jeans,nam,tay ngắn,mùa đông,dáng suông,hoa nhí,1 triệu rưỡi
"Chiếc Áo hoodie dành cho nữ kiểu tay ngắn, màu màu đen, mặc mùa đông rất thoải mái, giá dưới 200k.",Áo hoodie,nữ,tay ngắn,mùa đông,rộng,màu đen,dưới 200k
"Váy maxi nữ không tay màu be, chất liệu thoáng mát, phù hợp cho mùa xuân, giá khoảng dưới 200k.",Váy maxi,nữ,không tay,mùa xuân,rộng,màu be,dưới 200k
"Áo khoác unisex tay dài hoa nhí, chất liệu thoáng mát, phù hợp cho mùa đông, giá khoảng 300 nghìn.",Áo khoác,unisex,tay dài,mùa đông,dáng suông,hoa nhí,300 nghìn
"Áo thun unisex tay ngắn hoa nhí, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng hơn 1 triệu.",Áo thun,unisex,tay ngắn,mùa thu,slim,hoa nhí,hơn 1 triệu
"Chiếc Váy dành cho unisex kiểu không tay, màu màu đỏ, mặc mùa thu rất thoải mái, giá 800 nghìn.",Váy,unisex,không tay,mùa thu,dáng rộng,màu đỏ,800 nghìn
"Mẫu Áo hoodie nữ tay ngắn, rộng, màu đen, phong cách thời trang mùa hè, giá bán hơn 1 triệu.",Áo hoodie,nữ,tay ngắn,mùa hè,rộng,màu đen,hơn 1 triệu
"Áo thun unisex kiểu slim màu đỏ, thiết kế hợp xu hướng, dùng được mùa xuân, giá 700 nghìn.",Áo thun,unisex,tay ngắn,mùa xuân,slim,màu đỏ,700 nghìn
"Áo thun nữ không tay regular màu be, dễ phối đồ, hợp cho mùa xuân, chỉ 1 triệu.",Áo thun,nữ,không tay,mùa xuân,regular,màu be,1 triệu
"Váy maxi unisex kiểu slim màu đỏ, thiết kế hợp xu hướng, dùng được quanh năm, giá 700 nghìn.",Váy maxi,unisex,tay lửng,quanh năm,slim,màu đỏ,700 nghìn
"Áo thun nam tay ngắn hoa nhí, chất liệu thoáng mát, phù hợp cho quanh năm, giá khoảng 200 nghìn.",Áo thun,nam,tay ngắn,quanh năm,dáng rộng,hoa nhí,200 nghìn
"Quần short nam kiểu ôm màu xanh, thiết kế hợp xu hướng, dùng được mùa đông, giá hơn 600k.",Quần short,nam,tay dài,mùa đông,ôm,màu xanh,hơn 600k
"Mẫu Quần short unisex tay dài, regular, hoa nhí, phong cách thời trang mùa đông, giá bán hơn 600k.",Quần short,unisex,tay dài,mùa đông,regular,hoa nhí,hơn 600k
"Váy unisex tay dài màu đỏ, chất liệu thoáng mát, phù hợp cho mùa đông, giá khoảng 700 nghìn.",Váy,unisex,tay dài,mùa đông,ôm,màu đỏ,700 nghìn
"Quần short nam kiểu regular màu đen, thiết kế hợp xu hướng, dùng được quanh năm, giá 200 nghìn.",Quần short,nam,tay ngắn,quanh năm,regular,màu đen,200 nghìn
"Chiếc Quần short dành cho nam kiểu tay ngắn, màu hoa nhí, mặc mùa hè rất thoải mái, giá 400 nghìn.",Quần short,nam,tay ngắn,mùa hè,dáng rộng,hoa nhí,400 nghìn
"Mẫu Áo sơ mi nam tay lửng, rộng, màu xám, phong cách thời trang mùa đông, giá bán dưới 200k.",Áo sơ mi,nam,tay lửng,mùa đông,rộng,màu xám,dưới 200k
"Mẫu Áo khoác nam tay lửng, dáng rộng, màu xanh, phong cách thời trang mùa đông, giá bán 800 nghìn.",Áo khoác,nam,tay lửng,mùa đông,dáng rộng,màu xanh,800 nghìn
"Váy nam tay dài màu đỏ, chất liệu thoáng mát, phù hợp cho mùa hè, giá khoảng hơn 1 triệu.",Váy,nam,tay dài,mùa hè,dáng suông,màu đỏ,hơn 1 triệu
"Váy maxi nữ tay ngắn màu vàng, chất liệu thoáng mát, phù hợp cho mùa xuân, giá khoảng 1 triệu rưỡi.",Váy maxi,nữ,tay ngắn,mùa xuân,regular,màu vàng,1 triệu rưỡi
"Mẫu Váy nam tay ngắn, ôm, màu hồng, phong cách thời trang mùa đông, giá bán dưới 200k.",Váy,nam,tay ngắn,mùa đông,ôm,màu hồng,dưới 200k
"Mẫu Quần short unisex tay lửng, rộng, màu xanh, phong cách thời trang quanh năm, giá bán 400 nghìn.",Quần short,unisex,tay lửng,quanh năm,rộng,màu xanh,400 nghìn
"Chiếc Áo sơ mi dành cho unisex kiểu tay ngắn, màu màu đen, mặc mùa xuân rất thoải mái, giá 300 nghìn.",Áo sơ mi,unisex,tay ngắn,mùa xuân,rộng,màu đen,300 nghìn
"Áo khoác unisex không tay hoa nhí, chất liệu thoáng mát, phù hợp cho mùa xuân, giá khoảng 400 nghìn.",Áo khoác,unisex,không tay,mùa xuân,dáng suông,hoa nhí,400 nghìn
"Váy unisex kiểu dáng suông màu hồng, thiết kế hợp xu hướng, dùng được mùa thu, giá dưới 200k.",Váy,unisex,không tay,mùa thu,dáng suông,màu hồng,dưới 200k
"Váy nam không tay dáng rộng màu đỏ, dễ phối đồ, hợp cho mùa hè, chỉ 800 nghìn.",Váy,nam,không tay,mùa hè,dáng rộng,màu đỏ,800 nghìn
"Váy maxi unisex không tay slim màu trắng, dễ phối đồ, hợp cho mùa đông, chỉ 700 nghìn.",Váy maxi,unisex,không tay,mùa đông,slim,màu trắng,700 nghìn
"Mẫu Áo hoodie nam tay lửng, dáng suông, màu đỏ, phong cách thời trang mùa đông, giá bán hơn 600k.",Áo hoodie,nam,tay lửng,mùa đông,dáng suông,màu đỏ,hơn 600k
"Áo khoác nữ không tay màu đen, chất liệu thoáng mát, phù hợp cho mùa hè, giá khoảng 300 nghìn.",Áo khoác,nữ,không tay,mùa hè,regular,màu đen,300 nghìn
"Chiếc Quần short dành cho unisex kiểu không tay, màu màu đỏ, mặc mùa thu rất thoải mái, giá hơn 1 triệu.",Quần short,unisex,không tay,mùa thu,ôm,màu đỏ,hơn 1 triệu
"Váy nữ không tay rộng màu xanh, dễ phối đồ, hợp cho mùa thu, chỉ dưới 200k.",Váy,nữ,không tay,mùa thu,rộng,màu xanh,dưới 200k
"Áo hoodie unisex tay ngắn màu hồng, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng 1 triệu.",Áo hoodie,unisex,tay ngắn,mùa thu,regular,màu hồng,1 triệu
"Chiếc Áo hoodie dành cho nữ kiểu tay ngắn, màu màu be, mặc mùa đông rất thoải mái, giá 500 nghìn.",Áo hoodie,nữ,tay ngắn,mùa đông,dáng suông,màu be,500 nghìn
"Mẫu Áo sơ mi unisex tay ngắn, dáng rộng, màu be, phong cách thời trang mùa hè, giá bán 500 nghìn.",Áo sơ mi,unisex,tay ngắn,mùa hè,dáng rộng,màu be,500 nghìn
"Váy unisex không tay màu tím, chất liệu thoáng mát, phù hợp cho quanh năm, giá khoảng hơn 1 triệu.",Váy,unisex,không tay,quanh năm,dáng suông,màu tím,hơn 1 triệu
"Chiếc Váy maxi dành cho unisex kiểu tay dài, màu màu be, mặc mùa thu rất thoải mái, giá 1 triệu.",Váy maxi,unisex,tay dài,mùa thu,regular,màu be,1 triệu
"Áo hoodie nam kiểu rộng màu be, thiết kế hợp xu hướng, dùng được mùa xuân, giá 1 triệu.",Áo hoodie,nam,tay ngắn,mùa xuân,rộng,màu be,1 triệu
"Quần jeans nữ tay ngắn rộng màu vàng, dễ phối đồ, hợp cho mùa hè, chỉ hơn 1 triệu.",Quần jeans,nữ,tay ngắn,mùa hè,rộng,màu vàng,hơn 1 triệu
"Quần short unisex không tay ôm màu trắng, dễ phối đồ, hợp cho mùa thu, chỉ 1 triệu rưỡi.",Quần short,unisex,không tay,mùa thu,ôm,màu trắng,1 triệu rưỡi
"Quần short nữ kiểu dáng suông màu vàng, thiết kế hợp xu hướng, dùng được mùa thu, giá 400 nghìn.",Quần short,nữ,không tay,mùa thu,dáng suông,màu vàng,400 nghìn
"Quần short unisex tay dài dáng suông màu đỏ, dễ phối đồ, hợp cho mùa đông, chỉ hơn 1 triệu.",Quần short,unisex,tay dài,mùa đông,dáng suông,màu đỏ,hơn 1 triệu
"Mẫu Quần short nam không tay, dáng rộng, màu xám, phong cách thời trang quanh năm, giá bán 700 nghìn.",Quần short,nam,không tay,quanh năm,dáng rộng,màu xám,700 nghìn
"Váy unisex tay lửng hoa nhí, chất liệu thoáng mát, phù hợp cho mùa hè, giá khoảng 800 nghìn.",Váy,unisex,tay lửng,mùa hè,dáng rộng,hoa nhí,800 nghìn
"Quần jeans nam kiểu dáng rộng màu be, thiết kế hợp xu hướng, dùng được mùa xuân, giá 700 nghìn.",Quần jeans,nam,tay lửng,mùa xuân,dáng rộng,màu be,700 nghìn
"Quần short unisex tay ngắn màu tím, chất liệu thoáng mát, phù hợp cho quanh năm, giá khoảng 1 triệu rưỡi.",Quần short,unisex,tay ngắn,quanh năm,dáng suông,màu tím,1 triệu rưỡi
"Mẫu Váy maxi unisex tay lửng, dáng rộng, màu xám, phong cách thời trang mùa xuân, giá bán 1 triệu rưỡi.",Váy maxi,unisex,tay lửng,mùa xuân,dáng rộng,màu xám,1 triệu rưỡi
"Váy maxi unisex tay lửng dáng rộng màu xám, dễ phối đồ, hợp cho mùa đông, chỉ 400 nghìn.",Váy maxi,unisex,tay lửng,mùa đông,dáng rộng,màu xám,400 nghìn
"Chiếc Quần jeans dành cho nữ kiểu tay ngắn, màu màu tím, mặc mùa đông rất thoải mái, giá 400 nghìn.",Quần jeans,nữ,tay ngắn,mùa đông,dáng suông,màu tím,400 nghìn
"Áo thun nam kiểu slim màu đen, thiết kế hợp xu hướng, dùng được mùa thu, giá 400 nghìn.",Áo thun,nam,tay dài,mùa thu,slim,màu đen,400 nghìn
"Chiếc Áo hoodie dành cho nam kiểu không tay, màu màu vàng, mặc mùa hè rất thoải mái, giá 300 nghìn.",Áo hoodie,nam,không tay,mùa hè,dáng suông,màu vàng,300 nghìn
"Áo hoodie nam kiểu dáng rộng màu xanh, thiết kế hợp xu hướng, dùng được mùa đông, giá 200 nghìn.",Áo hoodie,nam,tay lửng,mùa đông,dáng rộng,màu xanh,200 nghìn
"Mẫu Váy nam tay dài, slim, màu hồng, phong cách thời trang mùa thu, giá bán dưới 200k.",Váy,nam,tay dài,mùa thu,slim,màu hồng,dưới 200k
"Chiếc Quần jeans dành cho nữ kiểu tay lửng, màu màu hồng, mặc quanh năm rất thoải mái, giá 800 nghìn.",Quần jeans,nữ,tay lửng,quanh năm,dáng suông,màu hồng,800 nghìn
"Chiếc Áo khoác dành cho unisex kiểu tay dài, màu màu vàng, mặc quanh năm rất thoải mái, giá 500 nghìn.",Áo khoác,unisex,tay dài,quanh năm,rộng,màu vàng,500 nghìn
"Váy maxi unisex tay ngắn màu xanh, chất liệu thoáng mát, phù hợp cho mùa xuân, giá khoảng 500 nghìn.",Váy maxi,unisex,tay ngắn,mùa xuân,rộng,màu xanh,500 nghìn
"Quần jeans unisex kiểu slim màu hồng, thiết kế hợp xu hướng, dùng được quanh năm, giá 200 nghìn.",Quần jeans,unisex,không tay,quanh năm,slim,màu hồng,200 nghìn
"Chiếc Áo hoodie dành cho unisex kiểu tay dài, màu màu đen, mặc mùa đông rất thoải mái, giá 1 triệu rưỡi.",Áo hoodie,unisex,tay dài,mùa đông,ôm,màu đen,1 triệu rưỡi
"Mẫu Áo hoodie unisex tay dài, dáng rộng, màu vàng, phong cách thời trang quanh năm, giá bán dưới 200k.",Áo hoodie,unisex,tay dài,quanh năm,dáng rộng,màu vàng,dưới 200k
"Chiếc Váy maxi dành cho nam kiểu không tay, màu hoa nhí, mặc mùa xuân rất thoải mái, giá 300 nghìn.",Váy maxi,nam,không tay,mùa xuân,rộng,hoa nhí,300 nghìn
"Chiếc Váy dành cho nữ kiểu tay dài, màu màu tím, mặc mùa hè rất thoải mái, giá hơn 1 triệu.",Váy,nữ,tay dài,mùa hè,regular,màu tím,hơn 1 triệu
"Váy maxi nam tay dài dáng rộng màu tím, dễ phối đồ, hợp cho mùa thu, chỉ 800 nghìn.",Váy maxi,nam,tay dài,mùa thu,dáng rộng,màu tím,800 nghìn
"Áo khoác unisex tay ngắn dáng rộng màu đen, dễ phối đồ, hợp cho mùa hè, chỉ 1 triệu rưỡi.",Áo khoác,unisex,tay ngắn,mùa hè,dáng rộng,màu đen,1 triệu rưỡi
"Chiếc Quần jeans dành cho nữ kiểu không tay, màu màu xanh, mặc quanh năm rất thoải mái, giá 1 triệu rưỡi.",Quần jeans,nữ,không tay,quanh năm,dáng suông,màu xanh,1 triệu rưỡi
"Quần short nam tay ngắn dáng rộng màu be, dễ phối đồ, hợp cho mùa hè, chỉ 400 nghìn.",Quần short,nam,tay ngắn,mùa hè,dáng rộng,màu be,400 nghìn
"Mẫu Váy unisex không tay, dáng suông, màu hồng, phong cách thời trang quanh năm, giá bán 500 nghìn.",Váy,unisex,không tay,quanh năm,dáng suông,màu hồng,500 nghìn
"Áo thun unisex tay lửng màu đen, chất liệu thoáng mát, phù hợp cho mùa xuân, giá khoảng 200 nghìn.",Áo thun,unisex,tay lửng,mùa xuân,slim,màu đen,200 nghìn
"Váy nữ tay lửng màu xanh, chất liệu thoáng mát, phù hợp cho quanh năm, giá khoảng 700 nghìn.",Váy,nữ,tay lửng,quanh năm,dáng rộng,màu xanh,700 nghìn
"Chiếc Áo thun dành cho nam kiểu tay lửng, màu màu tím, mặc mùa đông rất thoải mái, giá 400 nghìn.",Áo thun,nam,tay lửng,mùa đông,regular,màu tím,400 nghìn
"Áo thun unisex kiểu rộng màu đỏ, thiết kế hợp xu hướng, dùng được mùa thu, giá 500 nghìn.",Áo thun,unisex,không tay,mùa thu,rộng,màu đỏ,500 nghìn
"Váy nam tay dài màu vàng, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng 300 nghìn.",Váy,nam,tay dài,mùa thu,rộng,màu vàng,300 nghìn
"Mẫu Váy unisex tay lửng, regular, màu trắng, phong cách thời trang mùa hè, giá bán 700 nghìn.",Váy,unisex,tay lửng,mùa hè,regular,màu trắng,700 nghìn
"Chiếc Váy maxi dành cho nữ kiểu không tay, màu màu hồng, mặc mùa xuân rất thoải mái, giá 200 nghìn.",Váy maxi,nữ,không tay,mùa xuân,ôm,màu hồng,200 nghìn
"Váy unisex tay dài màu đen, chất liệu thoáng mát, phù hợp cho mùa xuân, giá khoảng 200 nghìn.",Váy,unisex,tay dài,mùa xuân,dáng suông,màu đen,200 nghìn
"Váy maxi nam không tay dáng suông màu xám, dễ phối đồ, hợp cho mùa đông, chỉ 700 nghìn.",Váy maxi,nam,không tay,mùa đông,dáng suông,màu xám,700 nghìn
"Chiếc Áo hoodie dành cho nữ kiểu tay dài, màu màu vàng, mặc mùa hè rất thoải mái, giá 700 nghìn.",Áo hoodie,nữ,tay dài,mùa hè,dáng suông,màu vàng,700 nghìn
"Mẫu Quần jeans nữ tay lửng, dáng rộng, hoa nhí, phong cách thời trang mùa thu, giá bán 700 nghìn.",Quần jeans,nữ,tay lửng,mùa thu,dáng rộng,hoa nhí,700 nghìn
"Quần jeans nam không tay hoa nhí, chất liệu thoáng mát, phù hợp cho mùa đông, giá khoảng hơn 1 triệu.",Quần jeans,nam,không tay,mùa đông,ôm,hoa nhí,hơn 1 triệu
"Áo thun unisex tay dài ôm màu trắng, dễ phối đồ, hợp cho mùa đông, chỉ 1 triệu rưỡi.",Áo thun,unisex,tay dài,mùa đông,ôm,màu trắng,1 triệu rưỡi
"Quần jeans nam kiểu ôm màu xanh, thiết kế hợp xu hướng, dùng được mùa đông, giá dưới 200k.",Quần jeans,nam,tay ngắn,mùa đông,ôm,màu xanh,dưới 200k
"Chiếc Áo hoodie dành cho unisex kiểu tay dài, màu màu be, mặc mùa đông rất thoải mái, giá 200 nghìn.",Áo hoodie,unisex,tay dài,mùa đông,rộng,màu be,200 nghìn
"Áo hoodie nam không tay màu vàng, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng 200 nghìn.",Áo hoodie,nam,không tay,mùa thu,slim,màu vàng,200 nghìn
"Áo thun unisex tay lửng màu xám, chất liệu thoáng mát, phù hợp cho quanh năm, giá khoảng 700 nghìn.",Áo thun,unisex,tay lửng,quanh năm,dáng rộng,màu xám,700 nghìn
"Váy unisex kiểu dáng rộng màu trắng, thiết kế hợp xu hướng, dùng được quanh năm, giá 1 triệu.",Váy,unisex,tay dài,quanh năm,dáng rộng,màu trắng,1 triệu
"Áo thun unisex không tay regular màu tím, dễ phối đồ, hợp cho mùa xuân, chỉ 1 triệu rưỡi.",Áo thun,unisex,không tay,mùa xuân,regular,màu tím,1 triệu rưỡi
"Váy unisex kiểu regular màu vàng, thiết kế hợp xu hướng, dùng được mùa thu, giá 500 nghìn.",Váy,unisex,tay ngắn,mùa thu,regular,màu vàng,500 nghìn
"Quần short nữ kiểu slim hoa nhí, thiết kế hợp xu hướng, dùng được mùa hè, giá 1 triệu.",Quần short,nữ,tay lửng,mùa hè,slim,hoa nhí,1 triệu
"Áo thun nam không tay màu trắng, chất liệu thoáng mát, phù hợp cho mùa hè, giá khoảng 700 nghìn.",Áo thun,nam,không tay,mùa hè,slim,màu trắng,700 nghìn
"Quần short nữ kiểu rộng màu xám, thiết kế hợp xu hướng, dùng được mùa xuân, giá hơn 600k.",Quần short,nữ,tay ngắn,mùa xuân,rộng,màu xám,hơn 600k
"Áo khoác nam tay dài slim màu đen, dễ phối đồ, hợp cho mùa đông, chỉ 1 triệu.",Áo khoác,nam,tay dài,mùa đông,slim,màu đen,1 triệu
"Áo khoác nam tay dài màu hồng, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng 800 nghìn.",Áo khoác,nam,tay dài,mùa thu,regular,màu hồng,800 nghìn
"Quần short nữ kiểu rộng màu đen, thiết kế hợp xu hướng, dùng được quanh năm, giá hơn 1 triệu.",Quần short,nữ,tay lửng,quanh năm,rộng,màu đen,hơn 1 triệu
"Áo hoodie nữ tay ngắn rộng màu trắng, dễ phối đồ, hợp cho quanh năm, chỉ 300 nghìn.",Áo hoodie,nữ,tay ngắn,quanh năm,rộng,màu trắng,300 nghìn
"Quần jeans unisex tay dài màu xanh, chất liệu thoáng mát, phù hợp cho mùa hè, giá khoảng 300 nghìn.",Quần jeans,unisex,tay dài,mùa hè,slim,màu xanh,300 nghìn
"Áo khoác unisex không tay màu đen, chất liệu thoáng mát, phù hợp cho mùa hè, giá khoảng dưới 200k.",Áo khoác,unisex,không tay,mùa hè,ôm,màu đen,dưới 200k
"Áo khoác unisex không tay regular màu hồng, dễ phối đồ, hợp cho mùa hè, chỉ 700 nghìn.",Áo khoác,unisex,không tay,mùa hè,regular,màu hồng,700 nghìn
"Mẫu Váy maxi unisex tay ngắn, dáng suông, màu trắng, phong cách thời trang mùa hè, giá bán 700 nghìn.",Váy maxi,unisex,tay ngắn,mùa hè,dáng suông,màu trắng,700 nghìn
"Áo thun nữ kiểu ôm màu vàng, thiết kế hợp xu hướng, dùng được mùa thu, giá 700 nghìn.",Áo thun,nữ,tay dài,mùa thu,ôm,màu vàng,700 nghìn
"Quần short nữ tay lửng dáng suông màu đen, dễ phối đồ, hợp cho mùa thu, chỉ 700 nghìn.",Quần short,nữ,tay lửng,mùa thu,dáng suông,màu đen,700 nghìn
"Áo sơ mi unisex kiểu rộng màu xám, thiết kế hợp xu hướng, dùng được mùa thu, giá hơn 600k.",Áo sơ mi,unisex,tay ngắn,mùa thu,rộng,màu xám,hơn 600k
"Áo hoodie unisex kiểu dáng suông màu trắng, thiết kế hợp xu hướng, dùng được mùa thu, giá 700 nghìn.",Áo hoodie,unisex,không tay,mùa thu,dáng suông,màu trắng,700 nghìn
"Mẫu Áo hoodie nữ không tay, ôm, màu đen, phong cách thời trang quanh năm, giá bán 700 nghìn.",Áo hoodie,nữ,không tay,quanh năm,ôm,màu đen,700 nghìn
"Áo khoác nam kiểu dáng rộng màu be, thiết kế hợp xu hướng, dùng được mùa thu, giá 200 nghìn.",Áo khoác,nam,tay dài,mùa thu,dáng rộng,màu be,200 nghìn
"Quần jeans nữ kiểu slim màu đen, thiết kế hợp xu hướng, dùng được mùa thu, giá 1 triệu.",Quần jeans,nữ,tay dài,mùa thu,slim,màu đen,1 triệu
"Chiếc Váy maxi dành cho unisex kiểu tay ngắn, màu màu đen, mặc mùa xuân rất thoải mái, giá hơn 600k.",Váy maxi,unisex,tay ngắn,mùa xuân,rộng,màu đen,hơn 600k
"Quần short unisex tay lửng ôm màu đỏ, dễ phối đồ, hợp cho quanh năm, chỉ 800 nghìn.",Quần short,unisex,tay lửng,quanh năm,ôm,màu đỏ,800 nghìn
"Mẫu Áo hoodie nam không tay, ôm, màu be, phong cách thời trang mùa thu, giá bán 400 nghìn.",Áo hoodie,nam,không tay,mùa thu,ôm,màu be,400 nghìn
"Chiếc Quần short dành cho nam kiểu tay lửng, màu màu tím, mặc mùa thu rất thoải mái, giá 700 nghìn.",Quần short,nam,tay lửng,mùa thu,regular,màu tím,700 nghìn
"Mẫu Quần short nữ không tay, rộng, màu trắng, phong cách thời trang mùa xuân, giá bán 300 nghìn.",Quần short,nữ,không tay,mùa xuân,rộng,màu trắng,300 nghìn
"Váy unisex tay ngắn màu tím, chất liệu thoáng mát, phù hợp cho mùa đông, giá khoảng hơn 600k.",Váy,unisex,tay ngắn,mùa đông,regular,màu tím,hơn 600k
"Chiếc Quần jeans dành cho nữ kiểu không tay, màu màu tím, mặc mùa thu rất thoải mái, giá 700 nghìn.",Quần jeans,nữ,không tay,mùa thu,rộng,màu tím,700 nghìn
"Chiếc Áo khoác dành cho unisex kiểu tay dài, màu màu vàng, mặc mùa xuân rất thoải mái, giá hơn 1 triệu.",Áo khoác,unisex,tay dài,mùa xuân,ôm,màu vàng,hơn 1 triệu
"Áo khoác unisex tay ngắn regular màu xám, dễ phối đồ, hợp cho mùa hè, chỉ 800 nghìn.",Áo khoác,unisex,tay ngắn,mùa hè,regular,màu xám,800 nghìn
"Áo khoác unisex tay lửng ôm hoa nhí, dễ phối đồ, hợp cho mùa hè, chỉ 300 nghìn.",Áo khoác,unisex,tay lửng,mùa hè,ôm,hoa nhí,300 nghìn
"Váy maxi unisex tay lửng dáng suông màu vàng, dễ phối đồ, hợp cho mùa thu, chỉ dưới 200k.",Váy maxi,unisex,tay lửng,mùa thu,dáng suông,màu vàng,dưới 200k
"Chiếc Váy maxi dành cho unisex kiểu không tay, màu màu đen, mặc mùa hè rất thoải mái, giá hơn 600k.",Váy maxi,unisex,không tay,mùa hè,regular,màu đen,hơn 600k
"Áo thun nữ kiểu ôm màu vàng, thiết kế hợp xu hướng, dùng được quanh năm, giá 1 triệu rưỡi.",Áo thun,nữ,tay ngắn,quanh năm,ôm,màu vàng,1 triệu rưỡi
"Chiếc Váy maxi dành cho nam kiểu tay lửng, màu màu tím, mặc mùa xuân rất thoải mái, giá 1 triệu.",Váy maxi,nam,tay lửng,mùa xuân,regular,màu tím,1 triệu
"Áo sơ mi nam kiểu regular màu vàng, thiết kế hợp xu hướng, dùng được mùa hè, giá 200 nghìn.",Áo sơ mi,nam,không tay,mùa hè,regular,màu vàng,200 nghìn
"Chiếc Quần jeans dành cho nữ kiểu không tay, màu màu vàng, mặc quanh năm rất thoải mái, giá 200 nghìn.",Quần jeans,nữ,không tay,quanh năm,dáng rộng,màu vàng,200 nghìn
"Áo hoodie nữ không tay ôm màu trắng, dễ phối đồ, hợp cho quanh năm, chỉ dưới 200k.",Áo hoodie,nữ,không tay,quanh năm,ôm,màu trắng,dưới 200k
"Áo thun nam tay dài slim màu tím, dễ phối đồ, hợp cho mùa hè, chỉ 800 nghìn.",Áo thun,nam,tay dài,mùa hè,slim,màu tím,800 nghìn
"Quần jeans nữ tay ngắn regular màu xám, dễ phối đồ, hợp cho mùa đông, chỉ 300 nghìn.",Quần jeans,nữ,tay ngắn,mùa đông,regular,màu xám,300 nghìn
"Áo sơ mi unisex tay dài màu be, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng 300 nghìn.",Áo sơ mi,unisex,tay dài,mùa thu,dáng suông,màu be,300 nghìn
"Chiếc Quần jeans dành cho nữ kiểu tay lửng, màu màu đỏ, mặc mùa đông rất thoải mái, giá hơn 600k.",Quần jeans,nữ,tay lửng,mùa đông,rộng,màu đỏ,hơn 600k
